Month_name, ORG_NAME, BID_PRICE, BID_CAPACITY, LOCATION_DESCRIPTION, OFFER_PRICE, OFFER_CAPACITY,AuctionType
April,1099,0.03,25,2,,,Obligation
April,1099,0.06,25,2,,,Obligation
April,1099,1.21,25,7,,,Obligation
April,1099,1.26,25,7,,,Obligation
April,1099,1.42,25,7,,,Obligation
April,432,0.07,5,2,,,Obligation
April,432,0.08,5,2,,,Obligation
April,432,0.1,5,2,,,Obligation
April,284,0.11,10.5,2,,,Obligation
April,284,1.51,6.7,7,,,Obligation
April,471,1.64,5,7,,,Obligation
April,471,1.67,4,7,,,Obligation
April,471,1.7,2,7,,,Obligation
April,471,1.73,2,7,,,Obligation
April,471,1.76,2,7,,,Obligation
April,471,1.79,2,7,,,Obligation
April,471,1.82,2,7,,,Obligation
April,471,1.85,2,7,,,Obligation
April,471,1.88,2,7,,,Obligation
April,471,1.91,2,7,,,Obligation
April,471,1.94,2,7,,,Obligation
April,471,1.97,2,7,,,Obligation
April,471,2,2,7,,,Obligation
April,471,2.03,4,7,,,Obligation
April,471,2.06,4,7,,,Obligation
April,7,0,5,2,,,Obligation
April,7,0.01,4,2,,,Obligation
April,7,0.02,2,2,,,Obligation
April,7,0.03,2,2,,,Obligation
April,7,0.04,2,2,,,Obligation
April,7,0.05,2,2,,,Obligation
April,7,0.06,2,2,,,Obligation
April,7,0.07,2,2,,,Obligation
April,7,0.08,2,2,,,Obligation
April,7,0.09,2,2,,,Obligation
April,7,0.1,2,2,,,Obligation
April,7,0.11,2,2,,,Obligation
April,7,0.12,2,2,,,Obligation
April,7,0.13,4,2,,,Obligation
April,7,0.14,4,2,,,Obligation
April,7,1.64,15,1,,,Obligation
April,7,1.64,9,7,,,Obligation
April,7,1.67,10,1,,,Obligation
April,7,1.67,6,7,,,Obligation
April,7,1.7,5,1,,,Obligation
April,7,1.7,3,7,,,Obligation
April,7,1.73,5,1,,,Obligation
April,7,1.73,3,7,,,Obligation
April,7,1.76,5,1,,,Obligation
April,7,1.76,3,7,,,Obligation
April,7,1.79,5,1,,,Obligation
April,7,1.79,3,7,,,Obligation
April,7,1.82,5,1,,,Obligation
April,7,1.82,3,7,,,Obligation
April,7,1.85,5,1,,,Obligation
April,7,1.85,3,7,,,Obligation
April,7,1.88,5,1,,,Obligation
April,7,1.88,3,7,,,Obligation
April,7,1.91,5,1,,,Obligation
April,7,1.91,3,7,,,Obligation
April,7,1.94,5,1,,,Obligation
April,7,1.94,3,7,,,Obligation
April,7,1.97,5,1,,,Obligation
April,7,1.97,3,7,,,Obligation
April,7,2,5,1,,,Obligation
April,7,2,3,7,,,Obligation
April,7,2.03,10,1,,,Obligation
April,7,2.03,6,7,,,Obligation
April,7,2.06,10,1,,,Obligation
April,7,2.06,6,7,,,Obligation
April,1209,0.03,245,2,,,Obligation
